"","species","ECO_NAME","X","garden","variant","latitude","longitude","country","IUCNRedList","ECO_CODE","province","geometry","Group","crop"
"30","Abies lasiocarpa","Taiga Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Fir"
"31","Abies lasiocarpa","Taiga Cordillera",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Fir"
"32","Abies lasiocarpa","Boreal Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Fir"
"33","Acer glabrum","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"34","Acer glabrum","Canadian Rocky Mountains",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"35","Acer glabrum","Okanagan",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"36","Acer glabrum","Boreal Cordillera",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"37","Acer glabrum","S.E. Alaska - B.C. Coastal Forest And Mountains",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"38","Acer glabrum","Pacific Northwest Coast",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"39","Acer glabrum","North Cascades",43,"UBC","douglasii",50.267092,-122.879315,"Canada","","NA0514","British Columbia",c(-122.879315, 50.267092),"Trees","Maple"
"40","Acer glabrum","North Cascades",46,"UBC","douglasii",50.267092,-122.879315,"Canada","","NA0514","British Columbia",c(-122.879315, 50.267092),"Trees","Maple"
"41","Acer glabrum","North Cascades",48,"UBC","douglasii",49.34259,-121.4678,"Canada","","NA0514","British Columbia",c(-121.4678, 49.34259),"Trees","Maple"
"42","Acer glabrum","North Cascades",50,"UBC","douglasii",50.267092,-122.879315,"Canada","","NA0514","British Columbia",c(-122.879315, 50.267092),"Trees","Maple"
"43","Acer glabrum","North Cascades",51,"UBC","douglasii",50.267092,-122.879315,"Canada","","NA0514","British Columbia",c(-122.879315, 50.267092),"Trees","Maple"
"44","Acer glabrum","North Cascades",56,"UBC","douglasii",50.267092,-122.879315,"Canada","","NA0514","British Columbia",c(-122.879315, 50.267092),"Trees","Maple"
"45","Acer glabrum","Montane Cordillera",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"46","Acer glabrum","Boreal Shield",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"47","Acer macrophyllum","Pacific Northwest Coast",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"48","Acer macrophyllum","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"49","Acer macrophyllum","North Cascades",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"50","Acer macrophyllum","Boreal Shield",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"51","Acer negundo","Aspen Parkland",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"52","Acer negundo","St. Lawrence - Champlain Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"53","Acer negundo","Boreal Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"54","Acer negundo","Superior Mixed Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"55","Acer negundo","Boreal Shield",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"56","Acer negundo","Fescue-Mixed Grass Prairie",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"57","Acer negundo","Okanagan",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"58","Acer negundo","Taiga Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"59","Acer negundo","Great Lakes",89,"University of Guelph Arboretum"," negundo",43.284197,-80.462618,"Canada",NA,"NA0404","Ontario",c(-80.462618, 43.284197),"Trees","Maple"
"60","Acer negundo","Northern Appalachian / Acadian",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"61","Acer negundo","Northern Tallgrass Prairie",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"62","Acer negundo","Boreal Cordillera",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"63","Acer negundo","Northern Great Plains Steppe",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"64","Acer nigrum","St. Lawrence - Champlain Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"65","Acer nigrum","Great Lakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"66","Acer nigrum","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"67","Acer nigrum","Boreal Shield",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"68","Acer nigrum","Northern Appalachian / Acadian",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"69","Acer nigrum","Eastern Taiga Shield",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"70","Acer pensylvanicum","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"71","Acer pensylvanicum","Boreal Shield",66,"UBC","",46.904395,-80.081475,"Canada","Least concern","NA0604","Ontario",c(-80.081475, 46.904395),"Trees","Maple"
"72","Acer pensylvanicum","St. Lawrence - Champlain Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"73","Acer pensylvanicum","Northern Appalachian / Acadian",62,"UBC","",45.716667,-67.566667,"Canada","Least concern","NA0411","New Brunswick",c(-67.566667, 45.716667),"Trees","Maple"
"74","Acer pensylvanicum","Northern Appalachian / Acadian",63,"UBC","",45.716667,-67.566667,"Canada","Least concern","NA0411","New Brunswick",c(-67.566667, 45.716667),"Trees","Maple"
"75","Acer pensylvanicum","Northern Appalachian / Acadian",64,"UBC","",45.716667,-67.566667,"Canada","Least concern","NA0411","New Brunswick",c(-67.566667, 45.716667),"Trees","Maple"
"76","Acer pensylvanicum","Northern Appalachian / Acadian",68,"UBC","",45.716667,-67.566667,"Canada","Least concern","NA0411","New Brunswick",c(-67.566667, 45.716667),"Trees","Maple"
"77","Acer pensylvanicum","Northern Appalachian / Acadian",73,"UBC","",45.716667,-67.566667,"Canada","Least concern","NA0411","New Brunswick",c(-67.566667, 45.716667),"Trees","Maple"
"78","Acer pensylvanicum","Boreal Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"79","Acer pensylvanicum","Great Lakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"80","Acer rubrum","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"81","Acer rubrum","Boreal Shield",76,"UBC","",46.932305,-80.098145,"Canada","Least concern","NA0604","Ontario",c(-80.098145, 46.932305),"Trees","Maple"
"82","Acer rubrum","Boreal Shield",77,"UBC","",46.932305,-80.098145,"Canada","Least concern","NA0604","Ontario",c(-80.098145, 46.932305),"Trees","Maple"
"83","Acer rubrum","Boreal Shield",78,"UBC","",46.932305,-80.098145,"Canada","Least concern","NA0604","Ontario",c(-80.098145, 46.932305),"Trees","Maple"
"84","Acer rubrum","Boreal Shield",244,"University of Guelph Arboretum","",44.524171,-76.46553,"Canada",NA,"NA0604","Ontario",c(-76.46553, 44.524171),"Trees","Maple"
"85","Acer rubrum","Boreal Shield",246,"University of Guelph Arboretum","",44.524171,-76.46553,"Canada",NA,"NA0604","Ontario",c(-76.46553, 44.524171),"Trees","Maple"
"86","Acer rubrum","St. Lawrence - Champlain Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"87","Acer rubrum","Superior Mixed Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"88","Acer rubrum","Great Lakes",114,"University of Guelph Arboretum","",46.481556,-84.010833,"Canada",NA,"NA0404","Ontario",c(-84.010833, 46.481556),"Trees","Maple"
"89","Acer rubrum","Great Lakes",134,"University of Guelph Arboretum","",42.7417885,-80.42821493,"Canada",NA,"NA0404","Ontario",c(-80.42821493, 42.7417885),"Trees","Maple"
"90","Acer rubrum","Great Lakes",135,"University of Guelph Arboretum","",44.06175847,-81.37332572,"Canada",NA,"NA0404","Ontario",c(-81.37332572, 44.06175847),"Trees","Maple"
"91","Acer rubrum","Great Lakes",137,"University of Guelph Arboretum","",46.481556,-84.010833,"Canada",NA,"NA0404","Ontario",c(-84.010833, 46.481556),"Trees","Maple"
"92","Acer rubrum","Great Lakes",143,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"93","Acer rubrum","Great Lakes",144,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"94","Acer rubrum","Great Lakes",145,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"95","Acer rubrum","Great Lakes",166,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"96","Acer rubrum","Great Lakes",167,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"97","Acer rubrum","Great Lakes",188,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"98","Acer rubrum","Great Lakes",189,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"99","Acer rubrum","Great Lakes",204,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"100","Acer rubrum","Great Lakes",205,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"101","Acer rubrum","Great Lakes",206,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"102","Acer rubrum","Great Lakes",207,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"103","Acer rubrum","Great Lakes",208,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"104","Acer rubrum","Great Lakes",210,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"105","Acer rubrum","Great Lakes",211,"University of Guelph Arboretum","",42.5641,-81.624983,"Canada",NA,"NA0404","Ontario",c(-81.624983, 42.5641),"Trees","Maple"
"106","Acer rubrum","Great Lakes",213,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"107","Acer rubrum","Great Lakes",214,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"108","Acer rubrum","Great Lakes",215,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"109","Acer rubrum","Great Lakes",221,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"110","Acer rubrum","Great Lakes",222,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"111","Acer rubrum","Great Lakes",223,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"112","Acer rubrum","Great Lakes",225,"University of Guelph Arboretum","",42.5641,-81.624983,"Canada",NA,"NA0404","Ontario",c(-81.624983, 42.5641),"Trees","Maple"
"113","Acer rubrum","Great Lakes",231,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"114","Acer rubrum","Great Lakes",232,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"115","Acer rubrum","Great Lakes",233,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"116","Acer rubrum","Great Lakes",238,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"117","Acer rubrum","Great Lakes",239,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"118","Acer rubrum","Great Lakes",251,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"119","Acer rubrum","Great Lakes",253,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"120","Acer rubrum","Great Lakes",254,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"121","Acer rubrum","Great Lakes",255,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"122","Acer rubrum","Great Lakes",258,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"123","Acer rubrum","Great Lakes",261,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"124","Acer rubrum","Great Lakes",263,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"125","Acer rubrum","Great Lakes",274,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"126","Acer rubrum","Great Lakes",275,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Ontario",c(-80.91652367, 43.93448804),"Trees","Maple"
"127","Acer rubrum","Great Lakes",279,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"128","Acer rubrum","Great Lakes",280,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"129","Acer rubrum","Great Lakes",283,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"130","Acer rubrum","Great Lakes",285,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"131","Acer rubrum","Great Lakes",288,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"132","Acer rubrum","Great Lakes",289,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"133","Acer rubrum","Great Lakes",290,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"134","Acer rubrum","Great Lakes",291,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"135","Acer rubrum","Great Lakes",293,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"136","Acer rubrum","Great Lakes",294,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"137","Acer rubrum","Great Lakes",296,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"138","Acer rubrum","Great Lakes",297,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Ontario",c(-79.89972421, 44.41269107),"Trees","Maple"
"139","Acer rubrum","Northern Appalachian / Acadian",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"140","Acer rubrum","Eastern Taiga Shield",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"141","Acer saccharinum","Superior Mixed Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"142","Acer saccharinum","St. Lawrence - Champlain Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"143","Acer saccharinum","Great Lakes",302,"University of Guelph Arboretum","",41.81138836,-82.85521028,"Canada",NA,"NA0404",NA,c(-82.85521028, 41.81138836),"Trees","Maple"
"144","Acer saccharinum","Great Lakes",305,"University of Guelph Arboretum","",41.81138836,-82.85521028,"Canada",NA,"NA0404",NA,c(-82.85521028, 41.81138836),"Trees","Maple"
"145","Acer saccharinum","Great Lakes",306,"University of Guelph Arboretum","",41.81138836,-82.85521028,"Canada",NA,"NA0404",NA,c(-82.85521028, 41.81138836),"Trees","Maple"
"146","Acer saccharinum","Great Lakes",308,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
"147","Acer saccharinum","Great Lakes",309,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
"148","Acer saccharinum","Great Lakes",310,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
"149","Acer saccharinum","Great Lakes",312,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
"150","Acer saccharinum","Great Lakes",313,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
"151","Acer saccharinum","Great Lakes",316,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
"152","Acer saccharinum","Great Lakes",317,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
"153","Acer saccharinum","Great Lakes",318,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
"154","Acer saccharinum","Great Lakes",320,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
"155","Acer saccharinum","Great Lakes",321,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
"156","Acer saccharinum","Great Lakes",322,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
"157","Acer saccharinum","Great Lakes",325,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
"158","Acer saccharinum","Great Lakes",326,"University of Guelph Arboretum","",41.81138836,-82.85521028,"Canada",NA,"NA0404",NA,c(-82.85521028, 41.81138836),"Trees","Maple"
"159","Acer saccharinum","Great Lakes",327,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
"160","Acer saccharinum","Great Lakes",329,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
"161","Acer saccharinum","Great Lakes",333,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
"162","Acer saccharinum","Great Lakes",335,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Ontario",c(-80.12006058, 43.36207605),"Trees","Maple"
